Mnemonic,WPIINDO.Q.FMFT,WPI06.Q.FMFT,WPI10.Q.FMFT,WPI09.Q.FMFT,JEXCHMTPREAL.Q.FMFT,Q2,Q3,Q4
1997 Q1,1.427027392,1.438013808,1.314699764,1.667677044,1.211215813,0,0,0
1997 Q2,1.439281289,1.431824226,1.319623485,1.663307368,1.226085688,1,0,0
1997 Q3,1.445395019,1.435521229,1.320156563,1.678965835,1.240030687,0,1,0
1997 Q4,1.452840854,1.438499679,1.315467138,1.704367039,1.248878598,0,0,1
1998 Q1,1.451760678,1.439892162,1.297978344,1.719842461,1.279581879,0,0,0
1998 Q2,1.470182151,1.44567009,1.289709064,1.720887826,1.300273945,1,0,0
1998 Q3,1.481460161,1.438989262,1.271815284,1.717782759,1.32767471,0,1,0
1998 Q4,1.501819262,1.433422401,1.250776311,1.708216564,1.269368033,0,0,1
1999 Q1,1.537376846,1.420711125,1.23244748,1.708864088,1.288491387,0,0,0
1999 Q2,1.538793638,1.423528052,1.233812864,1.726073016,1.325445389,1,0,0
1999 Q3,1.54987739,1.448475914,1.248188434,1.75191472,1.316165639,0,1,0
1999 Q4,1.573232716,1.475875923,1.270693668,1.777156125,1.291415967,0,0,1
2000 Q1,1.576025833,1.488264406,1.285688863,1.802979521,1.311982935,0,0,0
2000 Q2,1.582887208,1.50787895,1.28035275,1.845726458,1.343059006,1,0,0
2000 Q3,1.596042899,1.521566582,1.280109075,1.846190798,1.361500576,0,1,0
2000 Q4,1.605347502,1.521852872,1.275880966,1.852168763,1.397273947,0,0,1
2001 Q1,1.634628653,1.547165081,1.266404312,1.854135095,1.390404801,0,0,0
2001 Q2,1.660178105,1.533970237,1.257234891,1.850695834,1.438937414,1,0,0
2001 Q3,1.670046923,1.504939081,1.250467691,1.843337752,1.430655969,0,1,0
2001 Q4,1.67365109,1.487709493,1.242042547,1.84300483,1.451916712,0,0,1
2002 Q1,1.663427018,1.474857735,1.239790924,1.845022409,1.493197257,0,0,0
2002 Q2,1.674570492,1.503322612,1.253424877,1.848869708,1.443082688,1,0,0
2002 Q3,1.679204831,1.53764739,1.267818686,1.864660293,1.384490609,0,1,0
2002 Q4,1.673793884,1.558322747,1.276672884,1.876984903,1.378592357,0,0,1
2003 Q1,1.662474182,1.612309441,1.281272627,1.887614559,1.310616473,0,0,0
2003 Q2,1.663237213,1.617884315,1.277829768,1.896783685,1.250179496,1,0,0
2003 Q3,1.665415169,1.61408444,1.288569049,1.903557929,1.250057717,0,1,0
2003 Q4,1.675639678,1.627996603,1.321545733,1.912846577,1.184236792,0,0,1
2004 Q1,1.684814256,1.671222031,1.402691664,1.920070324,1.154842792,0,0,0
2004 Q2,1.694500488,1.707952117,1.461340006,1.945008939,1.187889704,1,0,0
2004 Q3,1.714653751,1.766327953,1.529415672,1.972085933,1.162102124,0,1,0
2004 Q4,1.736079454,1.828933715,1.591025396,1.990565073,1.095571891,0,0,1
2005 Q1,1.777866185,1.86988364,1.612050263,2.013370592,1.08903624,0,0,0
2005 Q2,1.802409691,1.880279216,1.581620655,2.021996006,1.122582158,1,0,0
2005 Q3,1.830124793,1.909698131,1.580462575,2.024717731,1.139610568,0,1,0
2005 Q4,1.865872707,2.01978063,1.657360795,2.042154128,1.154579236,0,0,1
2006 Q1,1.905660604,2.040709255,1.720715255,2.064229845,1.138694515,0,0,0
2006 Q2,1.939706883,2.053441078,1.802698953,2.089945104,1.095755844,1,0,0
2006 Q3,1.956386368,2.075094605,1.856363682,2.111250325,1.082620128,0,1,0
2006 Q4,1.963331243,2.06122166,1.883605656,2.12459364,1.080515788,0,0,1
2007 Q1,1.987286151,2.082195951,1.903104765,2.140907994,1.081451549,0,0,0
2007 Q2,1.994214627,2.127178685,1.936554458,2.156620584,1.046690343,1,0,0
2007 Q3,1.992717984,2.146110934,1.93214232,2.174365125,1.019041141,0,1,0
2007 Q4,2.004815329,2.238069014,1.966900939,2.202270001,0.970650283,0,0,1
2008 Q1,2.022361411,2.33478698,2.050734559,2.232083148,0.951908479,0,0,0
2008 Q2,2.052526466,2.455791139,2.199206787,2.252546218,0.930747724,1,0,0
2008 Q3,2.102381105,2.61233107,2.260356802,2.289508482,0.956384533,0,1,0
2008 Q4,2.114809794,2.415424736,2.006825171,2.294862348,1.06160853,0,0,1
2009 Q1,2.108949296,2.276058061,1.863014131,2.273294239,1.092311825,0,0,0
2009 Q2,2.091782302,2.249827936,1.785111205,2.24964898,1.068648163,1,0,0
2009 Q3,2.081480598,2.293366679,1.863751542,2.241543512,1.034990842,0,1,0
2009 Q4,2.090425509,2.361748956,1.965259763,2.257991803,1.013096607,0,0,1
2010 Q1,2.10130173,2.441865747,2.03588117,2.301924839,1.04386354,0,0,0
2010 Q2,2.120117935,2.449019133,2.070592153,2.363281232,1.080711066,1,0,0
2010 Q3,2.13024602,2.432326658,2.052733956,2.389181049,1.054180578,0,1,0
2010 Q4,2.140457344,2.546117815,2.147759463,2.421717436,1.008599791,0,0,1
2011 Q1,2.158851803,2.667290971,2.239577082,2.437723585,0.986617533,0,0,0
2011 Q2,2.177146995,2.768730937,2.267052731,2.454033713,0.947177294,1,0,0
2011 Q3,2.200784388,2.797026506,2.284300146,2.471037902,0.943931234,0,1,0
2011 Q4,2.209998641,2.772971135,2.247275778,2.441454253,0.977041971,0,0,1
2012 Q1,2.228419969,2.784773896,2.247779932,2.438798295,0.985125698,0,0,0
2012 Q2,2.241998686,2.778433723,2.204804752,2.440624439,1.003557819,1,0,0
2012 Q3,2.253599598,2.733114958,2.161958463,2.434101889,1.010006892,0,1,0
2012 Q4,2.265368322,2.766936969,2.178699645,2.454233623,1.00130959,0,0,1
2013 Q1,2.283005089,2.813791033,2.163639678,2.472939083,1.026487362,0,0,0
2013 Q2,2.297074334,2.789765998,2.120207882,2.477869379,1.052298877,1,0,0
2013 Q3,2.303458086,2.784623274,2.117541521,2.492475077,1.053469779,0,1,0
2013 Q4,2.311508578,2.777062614,2.137405502,2.506609755,1.045641471,0,0,1
2014 Q1,2.330535762,2.809399803,2.148649341,2.504568163,1.065588541,0,0,0
2014 Q2,2.344472873,2.802059418,2.142607296,2.510443131,1.061025177,1,0,0
2014 Q3,2.354514861,2.832846987,2.162215589,2.505733001,1.0862088,0,1,0
2014 Q4,2.366648335,2.788956339,2.147091391,2.500931034,1.159269485,0,0,1
2015 Q1,2.380333417,2.661699959,2.081041059,2.499137465,1.267401864,0,0,0
2015 Q2,2.384207679,2.671857303,2.029009523,2.486222737,1.286008428,1,0,0
2015 Q3,2.389478683,2.673865838,1.976772449,2.484595147,1.325276946,0,1,0
2015 Q4,2.395658477,2.631080919,1.923161293,2.480897873,1.358200609,0,0,1
2016 Q1,2.41021934,2.612845373,1.893488754,2.470442414,1.374502725,0,0,0
2016 Q2,2.420237399,2.632112998,1.93415671,2.469487758,1.333940496,1,0,0
2016 Q3,2.43384865,2.654525109,1.962652808,2.47545134,1.353123701,0,1,0
2016 Q4,2.441195263,2.704797074,1.984809146,2.493811423,1.405484142,0,0,1
2017 Q1,2.45795755,2.766294839,2.047683836,2.523671978,1.408825554,0,0,0
2017 Q2,2.475184747,2.794286409,2.055038026,2.540634669,1.381983283,1,0,0
2017 Q3,2.479177499,2.802000831,2.08537274,2.562195296,1.310410042,0,1,0
2017 Q4,2.494821388,2.870928097,2.125379718,2.559342254,1.318318922,0,0,1
2018 Q1,2.516826167,2.916618933,2.172992192,2.568411413,1.277144854,0,0,0
2018 Q2,2.536832497,2.921781142,2.233982198,2.591142515,1.306610703,1,0,0
2018 Q3,2.549540492,2.98568718,2.250797637,2.614058501,1.329664866,0,1,0
2018 Q4,2.567004257,2.979350668,2.284263886,2.628839872,1.348634825,0,0,1
2019 Q1,2.594470231,2.91046727,2.269272043,2.622807562,1.35217205,0,0,0
2019 Q2,2.594453,2.946657,2.26038,2.616223,1.357738,1,0,0
2019 Q3,2.595456,2.972911,2.247301,2.608854,1.348819,0,1,0
2019 Q4,2.596637,2.976728,2.249251,2.604951,1.352329,0,0,1
2020 Q1,2.59627,2.98252,2.24059,2.602523,1.347707,0,0,0
2020 Q2,2.598182,2.990624,2.232897,2.602426,1.344224,1,0,0
2020 Q3,2.600386,3.004526,2.223699,2.601987,1.346324,0,1,0
2020 Q4,2.602881,3.013557,2.214139,2.601776,1.352723,0,0,1
2021 Q1,2.61145,3.030105,2.207236,2.601702,1.34653,0,0,0
2021 Q2,2.621529,3.051959,2.201393,2.605363,1.339747,1,0,0
2021 Q3,2.631056,3.072442,2.194526,2.610107,1.332816,0,1,0
2021 Q4,2.640801,3.093438,2.191139,2.615172,1.329881,0,0,1
2022 Q1,2.650144,3.111965,2.192073,2.622338,1.32178,0,0,0
2022 Q2,2.659236,3.132523,2.190845,2.62998,1.314373,1,0,0
2022 Q3,2.668719,3.153615,2.190465,2.637396,1.307341,0,1,0
2022 Q4,2.678577,3.173574,2.190862,2.644999,1.300429,0,0,1
2023 Q1,2.688404,3.193283,2.191927,2.649863,1.293811,0,0,0
2023 Q2,2.698271,3.212728,2.195582,2.654966,1.287345,1,0,0
2023 Q3,2.709077,3.236323,2.201144,2.660576,1.280816,0,1,0
2023 Q4,2.720067,3.259819,2.208005,2.666866,1.274524,0,0,1
2024 Q1,2.731076,3.282651,2.216104,2.671892,1.267693,0,0,0
2024 Q2,2.74282,3.309404,2.225729,2.677607,1.260843,1,0,0
2024 Q3,2.754678,3.337367,2.233189,2.685901,1.253808,0,1,0
2024 Q4,2.766355,3.360181,2.238329,2.694675,1.246577,0,0,1
2025 Q1,2.777497,3.380872,2.243627,2.703512,1.238807,0,0,0
2025 Q2,2.788515,3.400727,2.249217,2.712315,1.229621,1,0,0
2025 Q3,2.800082,3.424388,2.255645,2.721406,1.21996,0,1,0
2025 Q4,2.811777,3.448886,2.26233,2.730817,1.210154,0,0,1
2026 Q1,2.823123,3.47081,2.268769,2.740376,1.200238,0,0,0
2026 Q2,2.834352,3.492321,2.275057,2.749873,1.191041,1,0,0
2026 Q3,2.846074,3.517362,2.281829,2.759327,1.182366,0,1,0
2026 Q4,2.85775,3.542583,2.288536,2.768855,1.174159,0,0,1
2027 Q1,2.86891,3.56505,2.294452,2.778269,1.166322,0,0,0
2027 Q2,2.879689,3.586342,2.299631,2.787241,1.15941,1,0,0
2027 Q3,2.891006,3.610935,2.305166,2.795865,1.153148,0,1,0
2027 Q4,2.902233,3.63492,2.310331,2.804345,1.147502,0,0,1
2028 Q1,2.914032,3.658131,2.315645,2.813025,1.14271,0,0,0
2028 Q2,2.925073,3.680236,2.32004,2.821413,1.138443,1,0,0
2028 Q3,2.936497,3.705851,2.324559,2.829692,1.134787,0,1,0
2028 Q4,2.947747,3.729144,2.328598,2.837606,1.131726,0,0,1
2029 Q1,2.960092,3.752639,2.333153,2.845861,1.128896,0,0,0
2029 Q2,2.97108,3.774193,2.336056,2.853841,1.126591,1,0,0
2029 Q3,2.982564,3.798933,2.339137,2.861702,1.124643,0,1,0
2029 Q4,2.99391,3.821533,2.341831,2.869019,1.12305,0,0,1
2030 Q1,3.005348,3.844845,2.344138,2.876338,1.121389,0,0,0
2030 Q2,3.016673,3.867336,2.346043,2.883501,1.120843,1,0,0
2030 Q3,3.027815,3.889445,2.347623,2.890321,1.120367,0,1,0
2030 Q4,3.039194,3.910241,2.349182,2.897086,1.119981,0,0,1
2031 Q1,3.050323,3.929404,2.350414,2.903772,1.11973,0,0,0
2031 Q2,3.061463,3.950108,2.351655,2.91045,1.119382,1,0,0
2031 Q3,3.072757,3.971606,2.352983,2.917072,1.119054,0,1,0
2031 Q4,3.083805,3.991049,2.353955,2.923615,1.118727,0,0,1
2032 Q1,3.094498,4.008787,2.354414,2.929968,1.118347,0,0,0
2032 Q2,3.105733,4.030631,2.355539,2.936263,1.118032,1,0,0
2032 Q3,3.11707,4.052074,2.356727,2.942626,1.117726,0,1,0
2032 Q4,3.128453,4.072796,2.357889,2.949197,1.117448,0,0,1
2033 Q1,3.139481,4.091743,2.358609,2.955692,1.117168,0,0,0
2033 Q2,3.151089,4.113784,2.359919,2.962279,1.116934,1,0,0
2033 Q3,3.162503,4.134982,2.361026,2.968869,1.116722,0,1,0
2033 Q4,3.173786,4.154831,2.361924,2.975528,1.116521,0,0,1
2034 Q1,3.184603,4.17268,2.362296,2.9819,1.116361,0,0,0
2034 Q2,3.195703,4.192953,2.362987,2.988138,1.116136,1,0,0
2034 Q3,3.206897,4.213565,2.363768,2.994333,1.115895,0,1,0
2034 Q4,3.218272,4.233714,2.364662,3.000699,1.115653,0,0,1
2035 Q1,3.229422,4.252308,2.365236,3.00708,1.115453,0,0,0
2035 Q2,3.240905,4.273235,2.366164,3.013548,1.115249,1,0,0
2035 Q3,3.252446,4.294161,2.367079,3.020071,1.115061,0,1,0
2035 Q4,3.263951,4.313913,2.367895,3.026695,1.114876,0,0,1
2036 Q1,3.275271,4.332292,2.368466,3.033254,1.114677,0,0,0
2036 Q2,3.286966,4.353086,2.369379,3.039855,1.114484,1,0,0
2036 Q3,3.298888,4.375112,2.370504,3.046573,1.114306,0,1,0
2036 Q4,3.311011,4.397106,2.371776,3.053535,1.114162,0,0,1
2037 Q1,3.322883,4.417157,2.37273,3.060538,1.114055,0,0,0
2037 Q2,3.335415,4.441079,2.374318,3.067733,1.114012,1,0,0
2037 Q3,3.347842,4.464276,2.375736,3.075017,1.114014,0,1,0
2037 Q4,3.360352,4.486806,2.377161,3.082492,1.11405,0,0,1
